storeUid,provider,storeName,contactName,phone,planId,status,expiresAt
salla:1186711214,salla,,,,PAID_MONTHLY,active_by_plan,
salla:1607483358,salla,,,,PAID_MONTHLY,active_by_plan,
salla:1623177406,salla,,,,PAID_MONTHLY,active_by_plan,
salla:1800950097,salla,,,,PAID_MONTHLY,active_by_plan,
salla:1900960657,salla,,,,PAID_MONTHLY,expired,2026-02-02T00:47:52.043Z
salla:2046233832,salla,,,,PAID_MONTHLY,active_by_plan,
salla:292952409,salla,,,,PAID_MONTHLY,active_by_plan,
salla:325003770,salla,,,,PAID_MONTHLY,active_by_plan,
salla:551020857,salla,,,,PAID_MONTHLY,active_by_plan,
salla:71143309,salla,,,,PAID_MONTHLY,active_by_plan,
salla:816144827,salla,,,,PAID_MONTHLY,active_by_plan,
salla:982747175,salla,,,,PAID_ANNUAL,active_by_plan,
